name,address,rating,reviews,website,lat,lng,category,no_website
Reflets Toulouse,"27/29 Rue Charles Viguerie, 31300 Toulouse, France",4.9,209,https://www.reflets-toulouse.com/,43.60026089999999,1.4351447,"establishment, food, point_of_interest, restaurant",False
Aux Pieds sous la Table,"4, 8 Rue Arnaud Bernard 6, 31000 Toulouse, France",4.6,2690,https://auxpiedssouslatable.fr/,43.6096419,1.4392784,"establishment, food, point_of_interest, restaurant",False
La Cuisine À Mémé,"17 Rue des Couteliers, 31000 Toulouse, France",4.7,927,http://www.lacuisineameme.fr/,43.5984948,1.4417373,"establishment, food, point_of_interest, restaurant",False
L'Os à Moëlle Toulouse,"14 Rue Roquelaine, 31000 Toulouse, France",4.5,1407,https://www.losamoelletoulouse.com/,43.610543,1.445354,"establishment, food, point_of_interest, restaurant",False
BOCA - Tapas españolas,"54 Rue Peyrolières, 31000 Toulouse, France",4.8,1709,https://www.boca-toulouse.fr/,43.6020984,1.4411283,"bar, establishment, food, point_of_interest, restaurant",False
Restaurant Le Restaurant,"28 Rue Peyrolières, 31000 Toulouse, France",4.8,968,http://www.lerestaurant-toulouse.fr/,43.6008656,1.4407696,"establishment, food, point_of_interest, restaurant",False
Liquides resto à boire - Toulouse,"6 Rue des Gestes 2-4, 31000 Toulouse, France",4.6,1022,https://www.privateaser.com/lieu/52482-liquides-resto-a-boire,43.6030488,1.4421999,"bar, establishment, food, point_of_interest, restaurant",False
Cécile,"43 Pl. des Carmes, 31000 Toulouse, France",4.8,1531,https://cecile-toulouse.fr/,43.5974864,1.444595,"establishment, food, point_of_interest, restaurant",False
Le Plongeoir,"60 Bd Franck Pilatte, 06300 Nice, France",4.2,3620,https://www.leplongeoir.com/,43.6919027,7.290909,"bar, establishment, food, point_of_interest, restaurant",False
La Rotonde Nice,"37 Prom. des Anglais, 06000 Nice, France",4.4,980,https://www.lenegresco.com/restaurants/la-rotonde,43.694393,7.2579107,"establishment, food, point_of_interest, restaurant",False
Restaurant JAN,"12 Rue Lascaris, 06300 Nice, France",4.8,1116,http://www.restaurantjan.com/,43.6998607,7.2848981,"establishment, food, point_of_interest, restaurant",False
Plage Beau Rivage Nice,"107 Quai des États-Unis, 06300 Nice, France",4.1,3622,https://plagenicebeaurivage.com/,43.6947918,7.2695451,"bar, establishment, food, night_club, point_of_interest, restaurant",False
Château Eza,"Rue de la Pise, 06360 Èze, France",4.6,1542,http://www.chateaueza.com/,43.72769,7.3611586,"establishment, food, lodging, point_of_interest, restaurant",False
Castel Plage,"8 Quai des États-Unis, 06300 Nice, France",4.3,3308,http://www.castelplage.com/,43.6943897,7.278428399999999,"bar, establishment, food, point_of_interest, restaurant",False
Boccaccio,"7 Rue Massena, 06000 Nice, France",4.4,4979,https://www.boccaccio-nice.com/,43.697682,7.268434999999999,"establishment, food, point_of_interest, restaurant",False
Mayssa Beach,"9 Pl. Wilson, 06230 Villefranche-sur-Mer, France",4.6,2504,https://www.mayssabeach.fr/,43.7025059,7.3122182,"bar, establishment, food, point_of_interest, restaurant",False
"La Pinède Restaurant, Cap D'Ail","10 Av. Raymond Gramaglia, 06320 Cap-d'Ail, France",4.5,1567,http://www.lapinederestaurant.com/,43.7201483,7.394512300000001,"bar, establishment, food, night_club, point_of_interest, restaurant",False
La Réserve de Nice,"62 Bd Franck Pilatte, 06300 Nice, France",4.5,1434,https://www.lareservedenice.fr/fr/,43.6915351,7.2914292,"establishment, food, point_of_interest, restaurant",False
La Cabane Villeneuve-Loubet,"1523 Bd Brigitte Bardot, 06270 Villeneuve-Loubet, France",4.3,1710,http://lacabane-restaurant-villeneuve-loubet.fr/,43.6302159,7.1352405,"establishment, food, point_of_interest, restaurant",False
Le Séjour,"11 Rue Grimaldi, 06000 Nice, France",4.7,860,https://www.sejourcafe.fr/,43.6989508,7.2649516,"establishment, food, point_of_interest, restaurant",False
La Môme,"6 Rue Florian, 06400 Cannes, France",4.4,3267,https://lamomecannes.com/,43.5517865,7.0234738,"bar, establishment, food, point_of_interest, restaurant",False
La Route du Miam,"1 Rue Molière, 06100 Nice, France",4.8,675,,43.7129321,7.2613805,"establishment, food, point_of_interest, restaurant",True
Restaurant Elaïo,"1 Prom. des Anglais, 06000 Nice, France",4.1,811,https://www.elaio-nice.com/,43.6952286,7.265778499999999,"establishment, food, park, point_of_interest, restaurant",False
Restaurant Le Boudoir,"10 Rue Chauvain, 06000 Nice, France",4.5,864,https://leboudoir-nice.com/,43.6989601,7.2713445,"establishment, food, point_of_interest, restaurant",False
Restaurant Art'N Blum - Restaurant Nantes,"10 Rue Léon Blum, 44000 Nantes, France",4.8,718,https://restaurant-artnblum.com/,47.2192303,-1.554909,"establishment, food, point_of_interest, restaurant",False
Lamaccotte - Restaurant Nantes,"7 Rue Saint-Denis, 44000 Nantes, France",4.8,818,https://restaurante.covermanager.com/lamaccotte-2/,47.2178313,-1.552175,"establishment, food, point_of_interest, restaurant",False
Chez Maman,"2 Rue de la Juiverie, 44000 Nantes, France",4.4,2367,http://www.chez-maman.com/,47.215748,-1.5527114,"establishment, food, point_of_interest, restaurant",False
Le Cambronne Bistrot Chic,"6 Rue de l'Héronnière, 44000 Nantes, France",4.6,2512,https://www.lecambronne-bistrotchic.fr/,47.2121617,-1.5618667,"establishment, food, point_of_interest, restaurant",False
Chez Franklin,"10 Rue Franklin, 44000 Nantes, France",4.5,1610,http://chezfranklin.fr/,47.2142641,-1.5631235,"bar, cafe, establishment, food, point_of_interest, restaurant, store",False
La Cigale,"4 Pl. Graslin, 44000 Nantes, France",4.2,10144,http://www.lacigale.com/,47.21278,-1.5620819,"establishment, food, point_of_interest, restaurant",False
Pilgrim Restaurant Nantes,"1 Pl. Graslin, 44000 Nantes, France",4.7,649,https://www.pilgrimrestaurant-nantes.com/,47.2131647,-1.561712,"establishment, food, point_of_interest, restaurant",False
Bonbourg,"2 Place Ste Elisabeth, 44000 Nantes, France",4.8,549,https://www.bonbourgrestaurant.fr/,47.219214,-1.5619802,"establishment, food, point_of_interest, restaurant",False
Le Lion et L'agneau,"40 Rue Fouré, 44000 Nantes, France",4.9,863,https://www.le-lion-et-lagneau.fr/,47.2116119,-1.5470049,"establishment, food, point_of_interest, restaurant",False
La Mandale Restaurant,"32 Rue Léon Jamin, 44000 Nantes, France",4.8,518,https://lamandalerestaurant.com/,47.2194637,-1.5590165,"establishment, food, point_of_interest, restaurant",False
SAIN,"93 Rue Maréchal Joffre, 44000 Nantes, France",4.9,1206,https://sain-nantes.com/,47.2199238,-1.5492551,"establishment, food, point_of_interest, restaurant",False
Pickles,"2 Rue du Marais, 44000 Nantes, France",4.8,986,http://www.pickles-restaurant.com/,47.2181121,-1.5558443,"establishment, food, point_of_interest, restaurant",False
L'Alsacien Nantes,"15 All. Commandant Charcot, 44000 Nantes, France",4.8,817,http://www.lalsacien.com/restaurant-alsacien-flammekueche-nantes/,47.2172452,-1.5453684,"bar, establishment, food, point_of_interest, restaurant",False
Le Homard Fries,"16 Rue Saint-Léonard, 44000 Nantes, France",4.7,1019,https://nantes.lehomardfrites.com/,47.217406,-1.5554184,"establishment, food, point_of_interest, restaurant",False
République - Restaurant Nantes,"7 Pl. de la République, 44200 Nantes, France",4.7,717,http://republiquecotejardin.com/,47.20488899999999,-1.5549923,"establishment, food, point_of_interest, restaurant",False
Freia,"22 Bd de Berlin, 44000 Nantes, France",4.8,1299,https://www.freia-restaurant.com/,47.2167031,-1.536549,"establishment, food, point_of_interest, restaurant",False
Melon,"6 Rue Copernic, 44000 Nantes, France",5.0,165,https://www.bistromelon.com/,47.2150258,-1.5647508,"establishment, food, point_of_interest, restaurant",False
Balthazar,"6 Rue Santeuil, 44000 Nantes, France",4.7,779,http://www.balthazar.family/,47.2130701,-1.5601635,"establishment, food, point_of_interest, restaurant",False
Le Cochon qui fume,"15 Rue de Strasbourg, 44000 Nantes, France",4.4,1756,https://foodcollect.fr/store/le-cochon-qui-fume/restaurant,47.2163415,-1.5516676,"bar, establishment, food, point_of_interest, restaurant",False
RESTAURANT PANIER D’OR,"13 Rue Armand Brossard, 44000 Nantes, France",5.0,589,https://panierdor.fr/,47.2179838,-1.5564095,"establishment, food, point_of_interest, restaurant",False
